2024-06-22 16:21:30.613 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2024-06-22 16:21:30.617 [main] INFO  com.geekaca.mall.MallApplication - Starting MallApplication using Java 17.0.8 on DESKTOP-GTFF48C with PID 24724 (D:\极客咖it\mall商城工程仓库\mall\target\classes started by 74168 in D:\极客咖it\mall商城工程仓库\mall)
2024-06-22 16:21:30.646 [main] INFO  com.geekaca.mall.MallApplication - The following 1 profile is active: "dev"
2024-06-22 16:21:33.961 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 28019 (http)
2024-06-22 16:21:33.996 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-28019"]
2024-06-22 16:21:33.999 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-06-22 16:21:34.000 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.80]
2024-06-22 16:21:34.220 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-06-22 16:21:34.222 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3424 ms
2024-06-22 16:21:36.538 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-28019"]
2024-06-22 16:21:36.609 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 28019 (http) with context path ''
2024-06-22 16:21:37.357 [main] INFO  com.geekaca.mall.MallApplication - Started MallApplication in 7.737 seconds (JVM running for 15.893)
